PMID,PMCID,DOI,Title,Authors,Year,Journal,Volume,Issue,Pages,Abstract
10190907,PMC2193004,10.1084/jem.189.7.1157,Cytotoxic T lymphocyte-associated antigen 4 (CTLA-4) can regulate dendritic cell-induced activation and cytotoxicity of CD8(+) T cells independently of CD4(+) T cell help.,"McCoy KD, Hermans IF, Fraser JH, Le Gros G, Ronchese F",1999,J Exp Med,189,7,1157-62,"The mechanisms that regulate the strength and duration of CD8(+) cytotoxic T cell activity determine the effectiveness of an antitumor immune response. To better understand the antitumor effects of anti-cytotoxic T lymphocyte-associated antigen 4 (CTLA-4) antibody treatment, we analyzed the effect of CTLA-4 signaling on CD8(+) T cells in vitro and in vivo. In vitro, cross-linking of CTLA-4 on purified CD8(+) T cells caused decreased proliferative responses to anti-CD3 stimulation and rapid loss of activation marker expression. In vivo, blockade of CTLA-4 by neutralizing anti-CTLA-4 mAb greatly enhanced the accumulation, activation, and cytotoxic activity of CD8(+) T cells induced by immunization with Ag on dendritic cells (DC). This enhanced response did not require the expression of MHC class II molecules on DC or the presence of CD4(+) T cells. These results demonstrate that CTLA-4 blockade is able to directly enhance the proliferation and activation of specific CD8(+) T cells, indicating its potential for tumor immunotherapy even in situations in which CD4(+) T cell help is limited or absent."
9817207,PMC7095117,10.1038/23974,Structure of the haemagglutinin-esterase-fusion glycoprotein of influenza C virus.,"Rosenthal PB, Zhang X, Formanowski F, Fitz W, Wong CH, Meier-Ewert H, Skehel JJ, Wiley DC",1998,Nature,396,6706,92-6,"The spike glycoproteins of the lipid-enveloped orthomyxoviruses and paramyxoviruses have three functions: to recognize the receptor on the cell surface, to mediate viral fusion with the cell membrane, and to destroy the receptor. In influenza C virus, a single glycoprotein, the haemagglutinin-esterase-fusion (HEF) protein, possesses all three functions. In influenza A and B, the first two activities are mediated by haemagglutinin and the third by a second glycoprotein, neuraminidase. Here we report the crystal structure of the HEF envelope glycoprotein of influenza C virus. We have identified the receptor-binding site and the receptor-destroying enzyme (9-O-acetylesterase) sites, by using receptor analogues. The receptor-binding domain is structurally similar to the sialic acid-binding domain of influenza A haemagglutinin, but binds 9-O-acetylsialic acid. The esterase domain has a structure similar to the esterase from Streptomyces scabies and a brain acetylhydrolase. The receptor domain is inserted into a surface loop of the esterase domain and the esterase domain is inserted into a surface loop of the stem. The stem domain is similar to that of influenza A haemagglutinin, except that the triple-stranded, alpha-helical bundle diverges at both of its ends, and the amino terminus of HEF2, the fusion peptide, is partially exposed. The segregation of HEF's three functions into structurally distinct domains suggests that the entire stem region, including sequences at the amino and carboxy termini of HEF1 which precede the post-translational cleavage site between HEF1 and HEF2, forms an independent fusion domain which is probably derived from an ancestral membrane fusion protein."
10831607,PMC2174828,10.1083/jcb.149.5.1027,Yeast nucleoporins involved in passive nuclear envelope permeability.,"Shulga N, Mosammaparast N, Wozniak R, Goldfarb DS",2000,J Cell Biol,149,5,1027-38,"The vertebrate nuclear pore complex (NPC) harbors an approximately 10-nm diameter diffusion channel that is large enough to admit 50-kD polypeptides. We have analyzed the permeability properties of the Saccharomyces cerevisiae nuclear envelope (NE) using import (NLS) and export (NES) signal-containing green fluorescent protein (GFP) reporters. Compared with wild-type, passive export rates of a classical karyopherin/importin (Kap) Kap60p/Kap95p-targeted NLS-GFP reporter (cNLS-GFP) were significantly faster in nup188-Delta and nup170-Delta cells. Similar results were obtained using two other NLS-GFP reporters, containing either the Kap104p-targeted Nab2p NLS (rgNLS) or the Kap121p-targeted Pho4p NLS (pNLS). Elevated levels of Hsp70 stimulated cNLS-GFP import, but had no effect on the import of rgNLS-GFP. Thus, the role of Hsp70 in NLS-directed import may be NLS- or targeting pathway-specific. Equilibrium sieving limits for the diffusion channel were assessed in vivo using NES-GFP reporters of 36-126 kD and were found to be greater than wild-type in nup188-Delta and nup170-Delta cells. We propose that Nup170p and Nup188p are involved in establishing the functional resting diameter of the NPC's central transport channel."
3491082,PMC2114629,10.1083/jcb.103.6.2421,Integrin (the CSAT antigen): functionality requires oligomeric integrity.,"Buck CA, Shea E, Duggan K, Horwitz AF",1986,J Cell Biol,103,6 Pt 1,2421-8,"Integrin, the cell-substrate attachment (CSAT) antigen, is a complex of integral membrane glycoproteins whose apparent function is to mediate cell-substratum adhesion by serving as a transmembrane link between the extracellular matrix and elements of the cytoskeleton. Previous attempts to separate the members of this complex under nondenaturing conditions have been successful. We have now produced a monoclonal antibody ""G"" that is specific for the lower molecular mass cysteine-rich band 3 of the complex. Using an antibody affinity column containing this monoclonal antibody, it is possible to dissociate integrin into two fractions, one containing band 3, the other containing bands 1 plus 2. Neither fraction will by itself bind fibronectin, laminin, or talin. However, when the fractions are combined, the reconstituted integrin elutes from a gel filtration column in the same position as the native complex, and binding activity to these molecules returns. Further, it is shown by gel filtration that the recognition site for the adhesion-disrupting monoclonal antibodies CSAT and JG22 is on band 3, supporting the contention that integrin is an oligomer. The data presented here is consistent with integrin being either a mixture of heterodimers, each with a common subunit and reacting with a particular extracellular matrix molecule, or a single heterotrimer capable of binding to several different extracellular matrix molecules."
11266456,PMC2199621,10.1083/jcb.152.2.411,Gradient of increasing affinity of importin beta for nucleoporins along the pathway of nuclear import.,"Ben-Efraim I, Gerace L",2001,J Cell Biol,152,2,411-7,"Nuclear import and export signals on macromolecules mediate directional, receptor-driven transport through the nuclear pore complex (NPC) by a process that is suggested to involve the sequential binding of transport complexes to different nucleoporins. The directionality of transport appears to be partly determined by the nucleocytoplasmic compartmentalization of components of the Ran GTPase system. We have analyzed whether the asymmetric localization of discrete nucleoporins can also contribute to transport directionality. To this end, we have used quantitative solid phase binding analysis to determine the affinity of an importin beta cargo complex for Nup358, the Nup62 complex, and Nup153, which are in the cytoplasmic, central, and nucleoplasmic regions of the NPC, respectively. These nucleoporins are proposed to provide progressively more distal binding sites for importin beta during import. Our results indicate that the importin beta transport complex binds to nucleoporins with progressively increasing affinity as the complex moves from Nup358 to the Nup62 complex and to Nup153. Antibody inhibition studies support the possibility that importin beta moves from Nup358 to Nup153 via the Nup62 complex during import. These results indicate that nucleoporins themselves, as well as the nucleocytoplasmic compartmentalization of the Ran system, are likely to play an important role in conferring directionality to nuclear protein import."
40314372,PMC12051613,10.1080/20008066.2025.2494480,Causal relationship between inflammatory cytokines and posttraumatic stress disorder: a Mendelian randomization study and potential mechanism analysis.,"Li Y, Xu B, Chen Z",2025,Eur J Psychotraumatol,16,1,2494480,"Background: Post-traumatic stress disorder (PTSD) is a complex condition linked to inflammation. The causality between inflammatory cytokines and PTSD risk remains unclear.Methods: We conducted a bidirectional two-sample Mendelian randomization (MR) study using genome-wide association study (GWAS) data from 41 inflammatory cytokines and PTSD. Additional analyses included differential gene expression, protein-protein interaction, and functional enrichment to explore underlying mechanisms.Results: MR analysis indicated that higher levels of stem cell factor (SCF) and interleukin-4 (IL-4) are associated with a reduced risk of PTSD. Genes POGZ and LRIG2 were identified as mediators, implicated in the TGF-beta signalling pathway.Conclusion: Our findings suggest a protective role of certain cytokines against PTSD and highlight potential molecular mediators. This knowledge could inform future therapeutic strategies for PTSD."
35330785,PMC8938598,10.1177/24715492211038172,Development of a Machine Learning Algorithm for Prediction of Complications and Unplanned Readmission Following Reverse Total Shoulder Arthroplasty.,"Devana SK, Shah AA, Lee C, Gudapati V, Jensen AR, Cheung E, Solorzano C, van der Schaar M, SooHoo NF",2021,J Shoulder Elb Arthroplast,5,,24715492211038172,"BACKGROUND: Reverse total shoulder arthroplasty (rTSA) offers tremendous promise for the treatment of complex pathologies beyond the scope of anatomic total shoulder arthroplasty but is associated with a higher rate of major postoperative complications. We aimed to design and validate a machine learning (ML) model to predict major postoperative complications or readmission following rTSA.
METHODS: We retrospectively reviewed California's Office of Statewide Health Planning and Development database for patients who underwent rTSA between 2015 and 2017. We implemented logistic regression (LR), extreme gradient boosting (XGBoost), gradient boosting machines, adaptive boosting, and random forest classifiers in Python and trained these models using 64 binary, continuous, and discrete variables to predict the occurrence of at least one major postoperative complication or readmission following primary rTSA. Models were validated using the standard metrics of area under the receiver operating characteristic (AUROC) curve, area under the precision-recall curve (AUPRC), and Brier scores. The key factors for the top-performing model were determined.
RESULTS: Of 2799 rTSAs performed during the study period, 152 patients (5%) had at least 1 major postoperative complication or 30-day readmission. XGBoost had the highest AUROC and AUPRC of 0.681 and 0.129, respectively. The key predictive features in this model were patients with a history of implant complications, protein-calorie malnutrition, and a higher number of comorbidities.
CONCLUSION: Our study reports an ML model for the prediction of major complications or 30-day readmission following rTSA. XGBoost outperformed traditional LR models and also identified key predictive features of complications and readmission."
32089684,PMC7013307,10.1155/2020/6525787,All-Trans Retinoic Acid Inhibits Bone Marrow Mesenchymal Stem Cell Commitment to Adipocytes via Upregulating FRA1 Signaling.,"Xie L, Zou L, Chen J, Liu Y",2020,Int J Endocrinol,2020,,6525787,"Obesity, caused by an increased number and volume of adipocytes, is a global epidemic that seriously threatens human health. Bone marrow mesenchymal stem cells (BMSCs) can differentiate into adipocytes. All-trans retinoic acid (atRA, the active form of vitamin A) inhibits the adipogenic differentiation of BMSCs through its receptor RARG. The expression level of FRA1 (FOS like 1, AP-1 transcription factor subunit) in atRA-treated BMSCs increased, suggesting that atRA-mediated inhibition of BMSCs adipogenesis involves FRA1. BMSCs were transfected with adenovirus overexpressing Fra1 (ad-fra1) or silenced for Fra1 (si-fra1) and then treated with atRA. BMSCs treated with atRA and treated with ad-fra1 showed decreased mRNA and protein levels of key adipogenic genes (Pparg2, Cebpa) and adipogenesis-associated genes (Cd36, Fabp, Lpl, and Plin); atRA had a stronger inhibitory effect on adipogenesis compared with that in the ad-fra1 group. Adipogenic gene expression in Fra1-silenced BMSCs was significantly upregulated. Compared with that in the atRA group, the si-fra1 + atRA also upregulated adipogenic gene expression. However, compared with si-fra1, si-fra1 + atRA significantly inhibited adipogenic differentiation. Chromatin immunoprecipitation showed that RARG directly regulates Fra1 and FRA1 directly regulates Pparg2 and Cebpa. The results supported the conclusion that atRA inhibits BMSC adipogenesis partially through the RARG-FRA1-PPARG2 or the CEBPA axis or both. Thus, vitamin A might be used to treat obesity and its related diseases."
18927618,PMC2562983,10.1371/journal.pone.0003447,PP2A-mediated dephosphorylation of p107 plays a critical role in chondrocyte cell cycle arrest by FGF.,"Kolupaeva V, Laplantine E, Basilico C",2008,PLoS One,3,10,e3447,"FGF signaling inhibits chondrocyte proliferation, a cell type-specific response that is the basis for several genetic skeletal disorders caused by activating FGFR mutations. This phenomenon requires the function of the p107 and p130 members of the Rb protein family, and p107 dephosphorylation is one of the earliest distinguishing events in FGF-induced growth arrest. To determine whether p107 dephoshorylation played a critical role in the chondrocyte response to FGF, we sought to counteract this process by overexpressing in RCS chondrocytes the cyclin D1/cdk4 kinase complex. CyclinD/cdk4-expressing RCS cells became resistant to FGF-induced p107 dephosphorylation and growth arrest, and maintained significantly high levels of cyclin E/cdk2 activity and of phosphorylated p130 at later times of FGF treatment. We explored the involvement of a phosphatase in p107 dephosphorylation. Expression of the SV40 small T-Ag, which inhibits the activity of the PP2A phosphatase, or knockdown of the expression of the PP2A catalytic subunit by RNA interference prevented p107 dephosphorylation and FGF-induced growth arrest of RCS cells. Furthermore, an association between p107 and PP2A was induced by FGF treatment. Our data show that p107 dephosphorylation is a key event in FGF-induced cell cycle arrest and indicate that in chondrocytes FGF activates the PP2A phosphatase to promote p107 dephosphorylation."
22253573,PMC3254663,10.1371/journal.pbio.1001238,USP8 promotes smoothened signaling by preventing its ubiquitination and changing its subcellular localization.,"Xia R, Jia H, Fan J, Liu Y, Jia J",2012,PLoS Biol,10,1,e1001238,"The seven transmembrane protein Smoothened (Smo) is a critical component of the Hedgehog (Hh) signaling pathway and is regulated by phosphorylation, dimerization, and cell-surface accumulation upon Hh stimulation. However, it is not clear how Hh regulates Smo accumulation on the cell surface or how Hh regulates the intracellular trafficking of Smo. In addition, little is known about whether ubiquitination is involved in Smo regulation. In this study, we demonstrate that Smo is multi-monoubiquitinated and that Smo ubiquitination is inhibited by Hh and by phosphorylation. Using an in vivo RNAi screen, we identified ubiquitin-specific protease 8 (USP8) as a deubiquitinase that down-regulates Smo ubiquitination. Inactivation of USP8 increases Smo ubiquitination and attenuates Hh-induced Smo accumulation, leading to decreased Hh signaling activity. Moreover, overexpression of USP8 prevents Smo ubiquitination and elevates Smo accumulation, leading to increased Hh signaling activity. Mechanistically, we show that Hh promotes the interaction of USP8 with Smo aa625-753, which covers the three PKA and CK1 phosphorylation clusters. Finally, USP8 promotes the accumulation of Smo at the cell surface and prevents localization to the early endosomes, presumably by deubiquitinating Smo. Our studies identify USP8 as a positive regulator in Hh signaling by down-regulating Smo ubiquitination and thereby mediating Smo intracellular trafficking."
